_step,train/loss,train/lr,val_gen/accuracy_strict,val_gen/accuracy_lenient
10,0.6798,4.44e-07,0.45,0.575
20,0.4898,8.47e-07,0.475,0.6
30,0.6237,1.25e-06,0.49,0.61
40,0.6849,1.65e-06,0.48,0.6
50,0.521,2.06e-06,0.48,0.595
60,0.5323,2.46e-06,0.51,0.61
70,0.4397,2.86e-06,0.515,0.61
80,0.618,3.27e-06,0.54,0.625
90,0.4639,3.67e-06,0.515,0.605
100,0.5673,4.07e-06,0.535,0.6
110,0.5846,4.48e-06,0.53,0.62
120,0.4541,4.88e-06,0.565,0.635
130,0.4435,5.28e-06,0.56,0.625
140,0.3432,5.69e-06,0.565,0.635
150,0.3696,6.09e-06,0.565,0.66
160,0.3851,6.49e-06,0.61,0.66
170,0.3115,6.9e-06,0.605,0.665
180,0.4663,7.3e-06,0.59,0.665
190,0.3684,7.7e-06,0.565,0.62
200,0.4511,8.1e-06,0.625,0.66
210,0.3767,8.51e-06,0.57,0.62
220,0.3222,8.91e-06,0.595,0.635
230,0.4004,9.31e-06,0.625,0.67
240,0.399,9.72e-06,0.645,0.695
250,0.415,1e-05,0.635,0.68
260,0.3195,1e-05,0.62,0.665
270,0.4075,1e-05,0.645,0.685
280,0.3683,1e-05,0.645,0.68
290,0.3872,1e-05,0.615,0.65
300,0.3042,1e-05,0.605,0.65
310,0.3606,1e-05,0.585,0.645
320,0.3499,9.99e-06,0.6,0.66
330,0.2794,9.99e-06,0.62,0.675
340,0.3006,9.99e-06,0.635,0.665
350,0.491,9.99e-06,0.62,0.665
360,0.3415,9.99e-06,0.62,0.665
370,0.2683,9.98e-06,0.625,0.66
380,0.2708,9.98e-06,0.665,0.7
390,0.341,9.98e-06,0.64,0.685
400,0.2864,9.97e-06,0.635,0.685
410,0.3625,9.97e-06,0.65,0.705
420,0.2722,9.97e-06,0.67,0.725
430,0.2807,9.96e-06,0.67,0.71
440,0.2277,9.96e-06,0.685,0.72
450,0.3381,9.95e-06,0.69,0.72
460,0.2901,9.95e-06,0.68,0.715
470,0.2709,9.95e-06,0.69,0.725
480,0.1701,9.94e-06,0.68,0.715
490,0.2989,9.94e-06,0.68,0.715
500,0.2961,9.93e-06,0.645,0.675
510,0.343,9.92e-06,0.635,0.66
520,0.3106,9.92e-06,0.625,0.65
530,0.2323,9.91e-06,0.655,0.68
540,0.2311,9.91e-06,0.68,0.695
550,0.2733,9.9e-06,0.685,0.7
560,0.2369,9.89e-06,0.685,0.705
570,0.3316,9.89e-06,0.685,0.705
580,0.2788,9.88e-06,0.67,0.695
590,0.2471,9.87e-06,0.64,0.675
600,0.2431,9.86e-06,0.665,0.705
610,0.3082,9.86e-06,0.665,0.705
620,0.2614,9.85e-06,0.675,0.715
630,0.2094,9.84e-06,0.7,0.73
640,0.2143,9.83e-06,0.695,0.735
650,0.3092,9.82e-06,0.695,0.73
660,0.3163,9.81e-06,0.695,0.73
670,0.3254,9.8e-06,0.69,0.725
680,0.1707,9.79e-06,0.685,0.72
690,0.2609,9.79e-06,0.69,0.725
700,0.2104,9.78e-06,0.67,0.7
