_runtime,_step,_timestamp,baseline/pretrained_lenient,baseline/pretrained_strict,baseline/random_proj_lenient,baseline/random_proj_strict,epoch,train/backbone_lr,train/loss,train/proj_lr,val_gen/accuracy_lenient,val_gen/accuracy_strict,val_gen/hmdb51_lenient,val_gen/hmdb51_strict,val_gen/kinetics_lenient,val_gen/kinetics_strict,val_gen/qvid_lenient,val_gen/qvid_strict
1116.348356761,0,1776347413.5263257,0.58,0.44,0.66,0.18,,,,,,,,,,,,
1684.158094225,10,1776347993.7828958,,,,,1,6.612903225806452e-06,1.9324301247484983,6.612903225806452e-05,0.58,0.48,0.9047619047619048,0.9047619047619048,0.38095238095238093,0.23809523809523808,0.25,0
2236.588213169,20,1776348561.5925527,,,,,1,9.994259659790818e-06,1.3560686676588376,9.994259659790817e-05,0.62,0.4,0.7619047619047619,0.7619047619047619,0.5238095238095238,0.14285714285714285,0.5,0.125
2769.911065057,30,1776349114.022753,,,,,1,9.940506627721576e-06,1.1367822543688817,9.940506627721576e-05,0.68,0.58,0.9047619047619048,0.9047619047619048,0.5238095238095238,0.42857142857142855,0.5,0.125
3408.636066124,40,1776349647.3455582,,,,,1,9.830775681433963e-06,0.42847442705824507,9.830775681433964e-05,0.74,0.64,0.9523809523809523,0.9523809523809523,0.5714285714285714,0.47619047619047616,0.625,0.25
3979.691386147,50,1776350286.0705137,,,,,1,9.666310116395685e-06,0.2856408914291023,9.666310116395684e-05,0.7,0.64,0.9047619047619048,0.9047619047619048,0.5238095238095238,0.5238095238095238,0.625,0.25
4569.072656692,60,1776350857.1253512,,,,,1,9.448973393175725e-06,0.2439357763305452,9.448973393175724e-05,0.64,0.58,0.9047619047619048,0.9047619047619048,0.42857142857142855,0.42857142857142855,0.5,0.125
5092.743221806,70,1776351446.5071962,,,,,1,9.181228023691516e-06,0.37871805201111786,9.181228023691516e-05,0.66,0.6,0.9047619047619048,0.9047619047619048,0.42857142857142855,0.42857142857142855,0.625,0.25
5624.247536461,80,1776351970.1777592,,,,,1,8.866107669964937e-06,0.3835699474389912,8.866107669964935e-05,0.64,0.58,0.9047619047619048,0.9047619047619048,0.42857142857142855,0.42857142857142855,0.5,0.125
6167.979405144,90,1776352501.6820455,,,,,1,8.50718277151941e-06,0.42117085468944426,8.50718277151941e-05,0.64,0.58,0.9047619047619048,0.9047619047619048,0.42857142857142855,0.42857142857142855,0.5,0.125
