_step,train/loss,train/backbone_lr,train/proj_lr,val_gen/accuracy_strict,val_gen/accuracy_lenient
10,3.232700431346893,6.612903225806452e-06,6.612903225806452e-05,0.3,0.58
20,1.533816871966701,9.994259659790818e-06,9.994259659790817e-05,0.54,0.7
30,0.677303932896757,9.940506627721576e-06,9.940506627721576e-05,0.62,0.72
40,0.38172275937686206,9.830775681433963e-06,9.830775681433964e-05,0.58,0.64
50,0.37782404730460256,9.666310116395685e-06,9.666310116395684e-05,0.6,0.66
60,0.32583757106849587,9.448973393175725e-06,9.448973393175724e-05,0.64,0.68
70,0.5161311201753052,9.181228023691516e-06,9.181228023691516e-05,0.66,0.7
80,0.45509922036289935,8.866107669964937e-06,8.866107669964935e-05,0.68,0.74
90,0.25580989426071027,8.50718277151941e-06,8.50718277151941e-05,0.68,0.76
100,0.28303809452263523,8.10852009087344e-06,8.108520090873439e-05,0.68,0.72
120,0.3296902506157494,7.210448478308349e-06,7.21044847830835e-05,0.64,0.7
130,0.4231711832009751,6.721215056610801e-06,6.721215056610801e-05,0.66,0.7
140,0.23362097375766097,6.212479580559212e-06,6.212479580559212e-05,0.66,0.7
150,0.34171623367547,5.690006226377629e-06,5.690006226377629e-05,0.66,0.7
160,0.3035,5.16e-06,5.16e-05,0.66,0.7
170,0.2776,4.63e-06,4.63e-05,0.66,0.72
180,0.2277,4.1e-06,4.1e-05,0.66,0.72
190,0.1835,3.58e-06,3.58e-05,0.66,0.72
200,0.2363,3.08e-06,3.08e-05,0.68,0.74
210,0.4784,2.6e-06,2.6e-05,0.7,0.76
220,0.1964,2.15e-06,2.15e-05,0.7,0.76
230,0.2015,1.73e-06,1.73e-05,0.72,0.78
240,0.3271,1.34e-06,1.34e-05,0.68,0.74
250,0.192,1e-06,1e-05,0.7,0.76
260,0.2722,7.06e-07,7.06e-06,0.7,0.76
270,0.222,4.58e-07,4.58e-06,0.72,0.78
280,0.2631,2.61e-07,2.61e-06,0.68,0.74
290,0.2098,1.19e-07,1.19e-06,0.68,0.74
300,0.1771,3.12e-08,3.12e-07,0.72,0.78
310,0.1747,7.09e-11,7.09e-10,0.7,0.76
320,0.188,0.0,0.0,0.7,0.76
330,0.1893,0.0,0.0,0.7,0.76
340,0.2564,0.0,0.0,0.7,0.76
350,0.182,0.0,0.0,0.7,0.76
360,0.195,0.0,0.0,0.7,0.76
370,0.3765,0.0,0.0,0.7,0.76
380,0.2075,0.0,0.0,0.7,0.76
390,0.1858,0.0,0.0,0.7,0.76
400,0.2494,0.0,0.0,0.7,0.76
410,0.3151,0.0,0.0,0.7,0.76
420,0.1134,0.0,0.0,0.7,0.76
